folio,context,unigram_entropy_bits,bigram_entropy_bits,type_token_ratio,lexicon_alignment,top10_bigram_conc,baseline_mean_conc,baseline_std_conc,z_score,p_value_one_tailed,clauses_kept,sensitivity_drop_pct
93v,botanical,3.815,6.1927,0.0882,0.9461,0.3202,0.2152,0.012507,8.396,0.0,11,5.31
94r,botanical,3.9926,6.2929,0.0544,0.8943,0.3182,0.1428,0.008506,20.618,0.0,35,7.15
94v,botanical,3.9838,6.7324,0.0179,0.8973,0.2725,0.1079,0.004579,35.943,0.0,103,5.33
96r,botanical,3.7674,5.8714,0.0769,0.9038,0.3816,0.2083,0.014594,11.877,0.0,20,7.42
96v,botanical,3.7282,5.5976,0.1491,0.9123,0.3982,0.2717,0.020098,6.294,0.0,10,4.82
99r,poultice,3.7984,6.4788,0.0364,0.913,0.3164,0.2053,0.009741,11.413,0.0,43,5.21
99v,poultice,3.7756,6.2547,0.0353,0.9087,0.3555,0.1865,0.008378,20.174,0.0,44,8.62
100r,poultice,3.8993,6.3419,0.0547,0.9149,0.2805,0.1762,0.009448,11.033,0.0,28,7.09
100v,botanical,3.7686,5.9737,0.0854,0.8945,0.3788,0.2126,0.014989,11.091,0.0,21,7.73
101r,botanical,3.8297,6.347,0.0415,0.9049,0.3325,0.1914,0.010192,13.845,0.0,39,5.83
101v,botanical,3.9152,6.9116,0.0141,0.9173,0.2641,0.1489,0.005224,22.036,0.0,106,7.21
103r,botanical,3.9363,6.6496,0.0146,0.9073,0.3035,0.1219,0.004705,38.603,0.0,114,6.52
103v,botanical,3.9531,6.7018,0.0186,0.9123,0.2893,0.1359,0.006076,25.24,0.0,85,6.01
104r,botanical,3.9488,6.5868,0.0178,0.9184,0.3099,0.1271,0.005107,35.792,0.0,87,5.64
104v,botanical,3.9389,6.6174,0.0176,0.9147,0.3154,0.1412,0.005641,30.876,0.0,92,6.58
105r,botanical,3.9164,6.7004,0.0232,0.9243,0.302,0.1612,0.006593,21.354,0.0,62,5.4
105v,botanical,3.8881,6.6359,0.0235,0.9309,0.3003,0.1612,0.007296,19.065,0.0,53,3.53
106r,botanical,3.9542,6.6629,0.0165,0.9203,0.3102,0.1372,0.005168,33.474,0.0,92,5.25
106v,botanical,4.0068,6.8044,0.0165,0.9138,0.2771,0.1002,0.00452,39.13,0.0,94,6.22
107r,botanical,3.9291,6.6985,0.0157,0.9122,0.2759,0.1278,0.004908,30.163,0.0,101,5.14
107v,botanical,3.927,6.6355,0.0153,0.9062,0.2969,0.1203,0.005183,34.078,0.0,110,6.38
108r,botanical,3.8587,6.4531,0.0142,0.9165,0.3731,0.1663,0.005972,34.632,0.0,112,6.23
108v,botanical,3.8718,6.4382,0.0135,0.9051,0.3553,0.1537,0.005151,39.138,0.0,127,6.84
111r,botanical,3.8508,6.5167,0.013,0.9092,0.3362,0.1589,0.005412,32.767,0.0,126,6.26
111v,botanical,3.9359,6.5939,0.0142,0.9036,0.3051,0.121,0.004361,42.225,0.0,122,5.47
112r,botanical,3.9495,6.6483,0.0169,0.9093,0.3301,0.1243,0.004755,43.286,0.0,102,7.18
112v,botanical,3.9405,6.6687,0.0158,0.9068,0.3178,0.1279,0.00468,40.58,0.0,106,6.91
113r,botanical,3.9975,6.7836,0.0181,0.9059,0.3025,0.1182,0.005275,34.937,0.0,104,6.96
113v,botanical,3.9884,6.7751,0.0225,0.9006,0.2773,0.1151,0.004974,32.596,0.0,84,6.82
114r,botanical,3.9011,6.5926,0.0182,0.9243,0.3196,0.1661,0.006987,21.973,0.0,79,5.17
114v,botanical,3.8663,6.3302,0.0252,0.9216,0.3478,0.1732,0.007469,23.378,0.0,56,4.65
115r,botanical,3.9368,6.5617,0.0189,0.9085,0.3337,0.1436,0.005625,33.787,0.0,92,6.2
115v,botanical,3.9449,6.589,0.0225,0.9207,0.3235,0.134,0.006333,29.912,0.0,67,5.33
116r,closing,3.9842,6.7879,0.0173,0.9094,0.2841,0.1136,0.004277,39.858,0.0,105,6.05
116v,closing,3.2903,4.3685,0.5217,0.9565,0.5,0.5168,0.043672,-0.385,0.64992,1,0.0
