folio,text
1r,Last edited on by stolfi Identification Title First page Page f r AA Rene p Stolfi Folio f Panels f r Bifolio bA f f Quire A Rene I Beinecke Attributes Language A Currier Hand Currier Subsets T Rene unk Stolfi Subject unknown text only Colors red Reeds Description The page contains four paragraphs with lines respectively each followed by a short right justified title Paragraphs and begin with big weirdo doodles very unlike normal Voynichese letters The first EVA looks like a capital K lying on it side with the vertical bar at the bottom The second EVA looks like the first with an extra squiggly line rising from between the two horns The two symbols are drawn or painted with flaring strokes ending in swallowtail serifs A inch band along the right margin is heavily stained There seem to be two or three columns of letters key like sequences in that band which are barely visible in the reproductions There is a faint unreadable text at the top of the page apparently in cursive handwriting Comments The page layout suggests four quotes with attributions or signed endorsements The faint scribbling at the top must be the signature of Jacobus de Tepenecz as asserted in many references Jim Reeds writes The erased key on f r is discussed by Brumbaugh It seems to have vertical columns of letters The leftmost is the ordinary alphabet lower case italic hand a through z I could not check for the presence of every letter I m not sure about j for instance but a b c o p q r s y z are pretty clear Next to those are very spotty frags of Voynich letters I could make out next to a next to c next to y and one of the gallows letters somewhere near the q r s range The d column seems to be off from the first italic miniscules r next to s and so on More is visible in UV shots than Petersen shows Brumbaugh reportedly claims that there was a date in the upper right corner of f r before it was obliterated by the application of chemicals intended to reveal faded writing D Imperio says that the weirdo characters EVA are in bright red ink confirmed by Glen Claston and Jim Reeds Rene found a medieval astrological diagram in Greek where EVA is used as a symbol for Aries which is kruos or kryos in Greek Stolfi suggested that the symbols may be abbreviations for Koenig and KoenigiN i e K and K with squiggle How desperate can you get References Codex Taurinensis C VII author anonymous no date avaliable http www ficom net members ditch secret htm John Grove http members tripod com VoynichMs Prefix htm text parag Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page uncapitalized U transcription by J Stolfi from scanned image Weirdos o o with a plume Possibly due to faulty vellum fachys ykal ar ataiin shol shory cth res y kor sholdy fachys ykal ar ataiin shol shory cthorys y kor sholdy fya ys ykal ar ytaiin shol shory k res y kor sholdy fachys ykal ar ataiin shol shory cth res y kor sholdy fya ys ykal ar ytaiin shol shory r s y kor sholdo sory ckhar o r y kair chtaiin shar are cthar cthar dan sory ckhar o r y kain shtaiin shar ar cthar cthar dan sory ckhar o r y kair chtaiin shor ar cthar cthar dana sory ckhar o r y kair chtaiin shar are cthar cthar dan sory ckhar o r y kair chtaiin shor ary cthar cthar dan syaiir sheky or ykaiin shod cthoary cthes daraiin sa syaiir sheky or ykaiin shod cthoary cth r daraiin sy syaiir sheky or ykaiin shod cthoary cthes daraiin sy syaiir sheky or ykaiin shod cthoary cthes daraiin sa syaiir shcky or ykaiin shod cthoary cthes daraiin sy o oiin oteey oteos roloty cth ar daiin otaiin or okan o dsoiin oteey oteor soloty cth ar daiin okaiin ol okan oiin oteey oteor soloty cth ar daiin okaiin ol okan oiin oteey otear roloty cthaar daiin okaiin or okan o oiin oteey oteos roloty cth ar daiin otaiin or okan o oiin oteey otear roloty cthaar daiin okaiin or okan dair y chear cthaiin cphar cfhaiin sair y chear cthaiin cphar cfhaiin sair y chear cthaiin cphar cfhaiin sair y chear cthaiin cphar cfhaiin sair y chear cthaiin cphar cfhaiin sair y chear cthaiin cphar cfhaiin title Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page uncapitalized U transcription by J Stolfi from scanned image ydar aish y ydar aish o ydar aish y ydar aish y ydar aish y ydar aish y text parag Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page uncapitalized U transcription by J Stolfi from scanned image Weirdos like a V with underbar or a K on its side or the chinese character for great upside down with stroke not protruding brushed very thick in red with flaring strokes and swallowtail serifs c EVA c with a plume like a sh without the final e odar o y shol cphoy oydar sh s cfhoaiin shodary odar y shol cphoy oydar sh s cfhoaiin shodasy odar s hy shol cphoy oydar sh s cfhoaiin shodary odar s y shol cphoy oydar sh s cfhoaiin shodary odar s y shol cphoy oydar sh s cfhoaiin shodary yshey shody okcho y otchol chocthy os chy dain chor kos sh y chody okcho y otchol chocthy os chy dain shor kos yshey shody okcho y otchol chocthy os chy dain chor kos yshey shody okcho y otchol chocthy os chy dain chor kos yshey chody okcho y otchol chocthy os chy dain chor kos daiin shos cfhol shody daiin shos cfhol shody daiin shor cfhol shody daiin shos cfhol shody daiin sh cfhol shody daiin shos cfhol shody title Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page uncapitalized U transcription by J Stolfi from scanned image dain os teody dain o teody dain s teody dain os teody dain s teody dain s teody text parag Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page de capitalized U transcription by J Stolfi from scanned image Weirdo an upside down pi somewhat like weirdo w see paragraph P with a squiggle extending up from between the two horns Thick red with flaring strokes swallowtail serifs ydain cphesaiin ol s cphey ytain shoshy cphodal es ydain cphesaiin ol s cphey ytain shoshy cphodal es ydain cphesaiin ol s cphey ytain shoshy cphodal es ydain cphesaiin ol s cphey ytain shoshy cphodal es ydain cphesaiin ol s cphey ytain shoshy cphodal es oksho kshoy otairin oteol okan shodain sckhey daiin oksho kshoy otaiiin oteol okan shodain sckh y daiin oksho kshoy otairin oteol okan shodain sckhey daiin oksho kshoy otairin oteol okan shodain sckhey daiin oksho kshoy otairin oteol okan shodain sckhey daiin shoy ckhey kodaiin cphy cphodaiils cthey she oldain d shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d shoy ckhey kodaiin cphy cph daiils cthey she oldain d shoy ckhey kodaiin cphy cphodaiils cthey she oldain d shoy ckhey kodaiin cphy cphoda ls cthey shy oldain d dain oiin chol odaiin chodain chdy okain dan cthy kod dain oiin chol odaiin chodain chdy okain d n cthy kod dain oiin chol odaiin chodain chdy okoin d r cthy kod dain oiin chol odaiin chodain chdy okain dan cthy kod dain oiin chol odaiin chodain chdy okain d n cthy kod daiin shckhey ck eor chor shey kol chol chol kor chal daiin shckhey ck hor chor shey kol chol chol kor chol daiin shckhey ck hor chor shey kol chol chol kor chol daiin shckhey ck eor chor shey kol chol chol kor chal daiin shckhey ck hor chor shey kol chol chol kor chol sho chol sh odan kshy kchy dor chodaiin sho kchom sho chol sh odan kshy kchy dor chodaiin sho keeam sho chol sh odan kshy kchy dor chodaiin sho koeam sho chol sh odan kshy kchy dor chodaiin sho kchom sho chol sh odan kshy kchy dor chodaiin sho keeam ycho tchey chokain sheo pshol dydyd cthy daicthy ycho tchey chekain sheo pshol dodyd cthy da cthy ycho tchey chekain sheo pshol dydyd cthy daicthy ycho tchey chokain sheo pshol dydyd cthy daicthy ycho tchey chetain sheo pshol dydyd cthy daicthy yto shol she kodshey cphealy das ain dain ckhyds yto shol she kodshey cphealy dar ain dain ckhy yto shol she kodshey cphealy dar ain dain ckhyds yto shol she kodshey cphealy das ain dain ckhyds yto shol shy kodshey cphealy dar ain dain ckhyd dchar shcthaiin okaiir chey rchy potol cthols dloct a dchar shcthaiin okaiir chey chy potol cthols dadet o dchar shcthaiin okaiir chey schy cphtol cthols daoet a dchar shcthaiin okaiir chey chy tol cthols dloct a dchar shcthaiin okaiir chey chy p tol cthols d oct shok chor chey dain ckhey shok chor chey dain ckhoy shok chor chey dain ckhey shok chor chey dain ckhey shok chor chey dain ckhoy shok chor chey dain ckhey title Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page uncapitalized U transcription by J Stolfi from scanned image otol daiiin otol daiiin otol daiiin otol daiiin otol daiiin otol daiiin text parag Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page uncapitalized U transcription by J Stolfi from scanned image cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro d doin chol dain cthal dar shear kaiin dar shey cth ar doin chol dain cthal dar shear kaiin dar shey cth ar oin chol dain cthal dar shear kaiin dar shey cthear doin chol dain cthal dar shear kaiin dar shey cth ar ydoin chol dain cthal dar shear kaiin dar shey cth ar cho o kaiin shoaiin okol daiin far cthol daiin ctholdar cho o kaiin shoaiin okol daiin far cthol daiin ctholdar echo kaiin shoaiin okol daiin far cthol daiin ctholdar cho o kaiin shoaiin okol daiin far cthol daiin ctholdar cho o kaiin sh aiin okol daiin far cthol daiin ctholdar ycheey oka y oky daiin okchey k okaiin chol k chy dal ycheey oka y oky daiin okchey k okaiin chol k chy dal ycheey okeey oky daiin okchey k okaiin chol kadchy dal ycheey oka y oky daiin okchey k okaiin chol k chy dal ocheey ok oky daiin okchey k okaiin chol ka ch dal d eeo shody koshey cthy ok chey keey keey dal chtor de o shody koshey cthy ok chey keey dal chtor dcheo shody kochey cthy ok chey keey keey dal chtor d eeo shody koshey cthy ok chey keey keey dal chtor dcheo shody kochey cthy ok chey keey keey dal chtor eo chol chok choty chotey o chol chok choty chotey eo chol chok choty chotey e eo chol chok choty chotey ch o chol chok choty chotey cheor chol chok choty chotey title Last edited on by stolfi X transcription by Denis Mardle N transcription by G Landini EVA alphabet page uncapitalized U transcription by J Stolfi from scanned image dchaiin dchaiin dchaiin dchaiin dchaiin dchaiin Column of Voynichese letters in right margin Last edited on by stolfi J transcription posted by Jim Reeds to the mailing list entered here by J Stolfi Probably extraneous writing by would be decipherer d B a r D c E d F e G f H g I h not sure if J was present J i K j L k M l N m O n P o Q p try a galows here R q try a galows here S r try a galows here T s U t V u W v X w g Z y
1v,verso indicates the second page of the fold out folio recto See Jim Reeds site for a complete list of folios and their division into pages A unit locator has the form where is the page locator and UU is a tag that identifies the unit within the page typically P or P P for paragraph formatted blocks L L for labels and so on A line locator has the form where is the unit locator LL is the line number and T is the transcriber s code The line number is a non negative integer optionally followed by a lowercase letter a e The transcriber code is an uppercase letter In a few places there was a first line not present in one of the other versions These lines were numbered or a b etc Examples The unit tags and line numbers for labels and other non paragraph text were standardized across versions in all cases where there were conflicts The original locators were usually retained as comments at the end of the line Line format Each line in the file can be a a line comment identified by a in column b a page header or unit header containing a page or unit locator in column followed by parsable information c a data line with a line locator in columns plus one line of Voynich text starting on column which may contain in line comments To simplify parsing by Unix tools the page unit header lines b were passivated by inserting in front of them These are the only lines that begin with As in the original transcription files text limited by curly brackets is a comment Transcriber codes C Currier s transcription plus new additions from members of the voynich list as found in the file voynich now F First study group s Friedman s transcription including various items as found in the file FSG NEW T John Tiltman s transcription of some pages L Don Latham s recent transcription of some pages R Mike Roe s recent transcription of some pages K Karl Kluge s transcription of some labels from Petersen s copies J Jim Reed s transcription of some previously unreadable characters The following codes were added by J Stolfi after Nov in the unfolding of groups D second choice from in C lines G second choice from in F lines mostly from I second choice from in J lines Q second choice from in K lines M second choice from in L lines The following codes were assigned by J Stolfi for use in new transcriptions H Takeshi Takahashi s full transcription see f K N Gabriel Landini U Jorge Stolfi V John Grove P Father Th Petersen a few readings reported by K Kluge X Denis V Mardle Z Rene Zandbergen Parsable information Rene Zandbergen has added the Parsable Information to this file A special type of in line comment appears after the page unit locator in page unit header lines type b We call this parsable information The information is coded in variables set to values specific for that to facilitate the parsing and filtering using VTT The variable names are single characters preceded by the symbol and they take as value a single character I illustration type T H A Z B C P S Text Herbal Astronomical Zodiac Biological Cosmological Pharmaceutical or Stars Q Quire A T P page in quire A X L Currier s language A B H Currier s hand X Y N has non Voynich text Y K has key like sequence Y X has extraneous writing Y Last edited on by stolfi Identification Title Petersen s belladonna Page f v AB Rene p Stolfi Folio f Panels f v Bifolio bA f f Quire A Rene I Beinecke Attributes Language A Currier Hand Currier Subsets H Rene hea Stolfi Subject herbal Petersen s plant Colors green tan Reeds Plant Petersen Description One plant centered on page Root a knobby warped pancanke like tuber with short roots attached like claws or fangs all around the rim Light color Stem thick well drawn Light color Branches one straight up two oblique with drooping tips Leaves broad lance shape with two short tails Stalk short Flowers one growing at the tip of the center branch Stalk very short Chalyx conical continuous with petals Petals short rounded light colored Core hemispherical dark colored could be a berry see below Two paragraphs with and lines just below mid page left and right justified interrupted by the plant s main stem Comments Part of this drawing root and leaves only is repeated on Pharma page f r The plant looks basically normal except for the very peculiar root Petersen identifies the plant as Solanum Solatrium Belladonna specifically the flower He says see L Fuchs p There is no Solanum solatrium rather solatrium is an ancient Dioscoridean name for some or all of these species Atropa Belladona deadly nightshade http www mobot org MOBOT research library kohler jpg http GIFTDB pict htm Hyoscyamus niger henbane http www mobot org MOBOT research library kohler jpg http www lysator liu se runeberg nordflor html Solanum nigrum black nightshade http axp ipm ucdavis edu PMG WEEDS black nightshade html Solanum dulcamara bittersweet http cal vet upenn edu poison ppstsleurop htm http www lysator liu se runeberg nordflor html and perhaps other somewhat less likely species such as Withania somnifera and Physalis alkekengi The leaves of f v seem most compatible those of Atropa belladonna shape and Hyoscyamus niger attachment to stem and the flower at the top of f v does resemble the sheathed shiny black fruits of these two species However A beladonna s root has been described as a roundish rhizome with a long up to m tapering root which does not seem to match the highly distinctive pancake with claws of f v I have found no image or description of the other plants roots A very similar root with quite different leaves can be seen on another Italian herbal University of Vermont Library MS fol ca http www library ucla edu libraries biomed his immi vm htm The medieval text calls that plant Gran a maggiore The modern commentary tentatively identifies it with Ecballium elaterium Squirting Cucumber http www csdl tamu edu FLORA mi mi jpg However the leaves do not match and the flower barely so I have found no image or description of E elaterium s roots All four plants are poisonous in varying degrees The active principles can be absorbed by smoking or through the skin as well as by ingestion They were used as potent psychoactive drugs causing paralysis of involuntary muscles dizziness sleep hallucinations violent behavior etc and have been often associated with witchcraft text Last edited on by stolfi kchsy chadaiin ol oltchey char cfhar am kchsy chadaiin ol oltchey char cfhar aj kchry chodaiin ol oltchey char cfhar am yteeay char or ochy dcho lkody okodar chody yteeay char or ochy dcho lkody okodar chody yteeay char or ochy dcho lkody okodar chody d o ckhy ckho ckhy shy dksheey cthy kotchody dal dao ckhy ckho ckhy shy dksheey cthy kotchody dal dao ckhy ckho ckhy shy dksheey cthy kotchody dal dol chokeo dair dam sochey chokody dol chokeo dair dam sochey chokody dol chokeo dair dam sochey chokody potoy shol dair cphoal dar chey tody otoaiin shoshy potoy shol dair cphoal dar chey tody otoaiin shoshy potoy shol dair cphoal dar chey tody otoaiin shoshy choky chol cthol shol okal dolchey chodo lol chy cthy choky chol cthol shol okal dolchey chodo lol chy cthy choky chol cthol shol okal dolchey chodo lol chy cthy qo ol choeee cheol dol cthey ykol dol dolo ykol do l ch ody qo ol choies cheol dol cthey ykol dol dolo ykol do l chieody qo ol choees cheol dol cthey ykol dol dolo ykol do l ch ody qo ol choies cheol dol cthey ykol dol dolo ykol do l ch ody okol shol kol kechy chol ky chol cthol chody chol daiin okol shol kol kechy chol ky chol cthol chody chol daiin akol shol kol kecha chol ky chol cthol chody chol daiin okol shol kol kechy chol ky chol cthol chody chol daiin shor okol chol dol ky dar shol dchor otcho dar shody shor okol chol dol ky dar shol dchor otcho dar shody shor okol chol dol ky dar shol dchor otcho dar shody taor chotchey dal chody schody pol chodar taor chotchey dal chody schody pol chodar taor chotchey dal chody schody pol chodar
2r,Last edited on by stolfi Identification Title Petersen s cornflower Page f r AC Rene p Stolfi Folio f Panels f r Bifolio bA f f Quire A Rene I Beinecke Attributes Language A Currier Hand Currier Subsets H Rene hea Stolfi Subject herbal Plant Petersen Colors green red Reeds Plant Petersen Description One plant centered on page Root left right symmetrical planar looking sort of like headless stick man with outstretched arms and gripping hands Overpainted with dark color Stem short and thin Branches two main ones almost upright slightly bent Irregular thickness awkward shape cf top right leaf Light clored with a dark vein grossly painted along the middle Leaves Dark overpaint shaped like a triangular fan with five lanceolated fingers Stalk medium length looks like a branch Flowers three on tip of main branch Stalk longish looks like a branch Chalyx an oblong oval sweelling at end of stalk partial dark overpaint Petals many narrow and long the flower looks like a shaving brush Core hidden by petals Two paragraphs with and lines left and rightjustified one at the top slightly narrower interrupted by three flowers and one near the bottom interrupted by two branches Comments The root looks rather strange the stems and leaves are somewhat awkward but the flowers look normal Petersen tentative identification is cyanus segetum cornflower caeruleus cf That must be Centaurea cyanus cornflower fiodaliso bluet kornblume http www lysator liu se runeberg nordflor html The flower shape and branching pattern seem to match fairly well However those features are not very specific Also the leaves of Centaurea cyanus are long and thin with smooth edges or a few very shallow teeth attached directly to the stem quite unlike those of f r Infusions of Centaurea cyanus were once used as a febrifugue whole plant and eye wash flowers only text Last edited on by stolfi kydainy ypchol daiin otchal ypchaiin ckholsy kydainy ypchol daiin otchal ypchaiin ckholsy kydainy ypchol daiin otchal ypchaiin ckholsy dorchory chkar s shor cthy cth dorchory chkar s shor cthy dorchory chkar s shor cthy ctho qotaiin cthey y chor chy ydy chaiin qotaiin cthey y chor chy ydy chaiin qotaiin cthey y chor chy ydy chaiin chaindy chtod dy cphy dal s chokaiin d aiidy chtod dy cphy dal s chokaiin d shaiidy chtod dy cphy dal s chokaiin d otochor al shodaiin chol dan ytchaiin dan otochor al shodaiin chol chan ytchaiin dan otochor al shodaiin chol dan ytchaiin dan saiin daind d kol sor ytoldy dchol dchy cthy saiin daind d kol sor ytoldy dchol dchy cthy saiin daind d kol sor ytoldy dchol dchy cthy shor ckhy daiiny chol dan shor ckhy daiiny chol dan shor ckhy daiiny chol dan kydain shaiin qoy s shol fodan yksh olsheey daiildy kydain shaiin qoy s shol fodan ytsh olsheey daiildy kydain shaiin qoy s shol fodan yksh olsheey daiildy dlssho kol sheey qokey ykody so chol yky dain daiirol dlssho kol sheey qokey ykody so chol yky dain daiirdl dlssho kol sheey qokey ykody so chol yky dain daiirol qoky cholaiin shol sheky daiin cthey keol s aiin saiin qoky cholaiin shol sheky daiin cthey keol s aiin saiin qoky cholaiin shol sheky daiin cthey keol s aiin saiin ychain dal chy dalor shan dan olsaiin sheey ckhor ychain dal chy dalor shan saiin sheey ckhor ychain dal chy dalor shan dan olsaiin sheey ckhor okol chy chor cthor yor an chan saiin chety chyky sal okol chy chor cthor yor an chan saiin chety chyky sal okol chy chor cthor yor an chan saiin chety chyky sal sho ykeey chey daiin chcthy sho ykeey chey daiin chcthy sho ykeey chey daiin chcthy label on plant Last edited on by stolfi U transcription by J Stolfi from scanned image ytoain
2v,Last edited on by stolfi Identification Title Water lily Page f v AD Rene p Stolfi Folio f Panels f v Bifolio bA f f Quire A Rene I Beinecke Attributes Language A Currier Hand Currier Subsets H Rene hea Stolfi Subject herbal Plant Petersen Colors green Reeds Description One plant centered on page Root long straight rhizome covered with scales or round stalk scars Stem single vertical slightly bent shooting out from middle of rhizome dark painted Branches there is the stub of a lost branch at mid stalk Leaves a single large leaf horizontal shaped like a very fat C with smooth rim Painted solid dark Stalk short Flowers one white flower pointing almost straight up Stalk long light colored with a darker vein part of it obscured by leaf which should be behind it Chalyx well drawn with thick tongue shaped sepals light colored Petals well drawn flaring lily shaped serrated edges white underpaint Core not visible Stamen long with a few short hairs Two paragraphs with lines respectively left and right justified one at the top interrupted by the single flower and one just below mid page interrupted by the main stem Comments The plant looks quite natural and well drawn Presumably the flower stem was in front of the leaf in the original drawing but the dark overpaint covered it The original outline of the leaf may have been obscured too The leaf shape suggests it is a water plant With that assumption the choices are quite few Rene suggested Nymphaea candida a k a Nymphaea alba water lily seerose http www lysator liu se runeberg nordflor pics jpg text Last edited on by stolfi kooiin cheo pchor otaiin o dain chor dair shty kooiin cheo pchor otaiin o dain chor dair shty kaoiin cheo pchor otaiin o dain chor dair shty kooiin cheo pchor otaiin o dain chor dair shty kaoiin cheo pchor otaiin o dain chor dair shty kcho kchy sho shol qotcho loeees qoty chor daiin kcho kchy sho shol qotcho loeees qoty chor daiin kcha kchy sho shol qotcho loeees qoty chor daiin kcho kchy sho shol qotcho loeees qoty chor daiin kch kchy sho shol qotsho loeees qoty chor daiin otchy chor lshy chol chody chodain chcthy daiin otchy chor lshy chol chody chodain chcthy daiin otchy chor lshy chol chody chodain chcthy daiin otchy chor lshy chol chody shodain chcthy daiin sho cholo cheor chodaiin sho cholo cheor chodaiin sho cholo cheor chodaiin sho cholo cheor chodaiin kchor shy daiiin chckhoy s shey dor chol daiin kchor shy daiiin chckh y s shey dor chol daiin kchor shy daiiin chckhoy s shey dor chol daiin kchor shy daiiin chck om s shey dor chol daiin dor chol chor chol keol chy chty daiin otchor chan dor chol chor chol keol chy chty daiin otchor chan dor chol chor chol keol chy chty daiin otchor chan dor chol chor chol keol chy chty daiin otchor chan daiin chotchey qoteeey chokeos chees chr cheaiin daiin chotchey qoteeey chokeos chees chr cheaiin daiin chotchey qoteeiy chokios chees chr cheaiin daiin chotchey qoteeey chokeos chees chr cheaiin daiin chotchey qotchey chokeos chees chr cheaiin chokoishe chor cheol chol dolody chokoishe chor chiol chol dolody chokoishe chor cheol chol dolody chokolshe chor cheol chol dolody
3r,Last edited on by stolfi Identification Title Page f r AE Rene p Stolfi Folio f Panels f r Bifolio bA f f Quire A Rene I Beinecke Attributes Language A Currier Hand Currier Subsets H Rene hea Stolfi Subject herbal Colors green red Reeds Description One plant flush against the right margin Roots a bunch of unbranched tentacle like roots radiating from the stem s base Light colored partial dark overpaint Stem rather thick bent Light colored dark overpainted stripe shadow along its left side Branches none Leaves lance shaped with an S bend very dense growing straight off the stem on both sides each partially covering the previous one Stem ends with one unpaired leaf Light colored with a dark painted shadow on the bottom of each leaf and a dotted line just inside the leaf s rim Flowers none Four paragraphs with and lines a longer one at the top and three short ones just below mid page The first two are left justified and follow the plant s outline on the right The last two are left and right justified and interrupted by the main stem Comments The plant looks strange because of the dense leaves Perhaps they are actually the sheaths of leafstalks badly drawn Perhaps the dots along the leaf rim are short spines text Last edited on by stolfi tsheos qopal chol cthol daimm tsheos qopal chol cthol daimg tsheos qopal chol cthol daimm ycheor chor dam qotcham cham ycheor chor dam qotchag cham ycheor chor dam qotcham cham ochor qocheor chol daiin cthy ochar qacheor chol daiin cthy ochor qocheor chol daiin cthy schey chor chal cham cham cho schey chor chal cham chaj cho schey chor chal chaj chaj cho schey chor chal cham cham cho qokol chololy s cham cthol qokol chololy s cham cthol qokol chololy s cham cthol ychtaiin chor cthom otal dam ychtaiin chor cthom otol dam ychtaiin chor cthom otal dam otchol qodaiin chom shom damo otchol qodaiin chom shom damo otchol qodaiin chom shom damo ysheor chor chol oky damo ysheor chor chol oky dago ysheor chor chol oky damo sho or sheoldam otchody ol sho aor sheoldaj otchody ol sho or sheoldam otchody ol ydas chol cthom ydas chol cthom ydar chol cthom pcheol shol sols sheol shey pcheol shol sols sheol shey pcheol shol sols sheol shey okadaiin qokchor qoschodam octhy okadaiin qokchor qoschodam octhy okadaiin qokchor qoschodam octhy qokeey qot shey qokody qokchey cheody qokeey qot shey qokody qokshey cheody qokeey qot shey qokody qokchey cheody chor qodair okeey qokeey chor qodair okeey qokeey chor qodair okeey qokeey tsheoarom shor or chor olchsy chom otchom oporar tsheoarom shor or chor olchsy chom otchom oporar tsheoarom shor or chor ofchsy chom otchom oporar oteol chol s cheol ekshy qokeom qokol daiin soleeg oteol chol s cheol ekshy qokeom qokol daiin soleeg oteol chol s cheol ekshy qokeom qokol daiin soleem soeom okeom yteody qokeeo dal sam soeom okeom yteody qokeeo dal sam soeom okeom yteody qokeeo dal sam pcheoldom shodaiin qopchor qopol opchol qoty otolom pcheoldom shodaiin qopchor qopol opchol qoty otolom pcheoldom shodaiin qopchor qopol opchol qoty otolom otchor ol cheor qoeor dair qoteol qosaiin chor cthy otchor ol cheor qoeor dair qoteol qosaiin chor cthy otchor ol cheor qoeor dair qoteol qosaiin chor cthy ycheor chol odaiin chol s aiin okol or am ycheor chol odaiin chol s aiin okol or am ycheor chol odaiin chol s aiin okol or am
3v,Last edited on by stolfi Identification Title Page f v AF Rene p Stolfi Folio f Panels f v Bifolio bA f f Quire A Rene I Beinecke Attributes Language A Currier Hand Currier Subsets H Rene hea Stolfi Subject herbal Colors b green red Reeds Description One plant flush against the bottom and right margins of the page Root single long root consisting of six telescoping conical segments dark painted with flat light painted top Tip of root is bent into a hook and ends with a small round knob Stem long straight vertical with a dark shadow stripe crudely painted along its length Branches none Leaves paired disk shaped with two tails two arms and a swallowtail shaped head with long outward curved tips Stalks medium length thin Flowers two very unequal size growing out of the tip of the stem Stalks short thin like leaf stalks Calyx heavy swollen shaped like a sweet potato cut in half dark painted Petals single row light semicircular very small Core flat light colored filled with dots looks like a pepper shaker Two paragraphs with and lines both in the top half of the page The text is left justified and follows the plant outline on the right Comments The plant looks quite strange The telescoping root is hard to explain The leaf shape is unusual but not impossible The bloated flower chalices are very strange they may have been drawn from pressed and dried specimens text Last edited on by stolfi koaiin cphor qotoy sha ckhol ykoaiin s oly koaiin cphor qotoy sha ckhol ykoaiin s oly koaiin cphar qotoa sha ckhol ykoaiin s oly koaiin cphor qotoy sha ckhol ykoaiin s oly koaiin cphor qotoy sha ckhol ykoaiin s oly daiidy qoteeol okchor okor olytol dol dar daiidy qotchol okeeor okor olytol dol dar daiida qotchol okchor okor olytol dol dar daiidy qoteeol okchor okor olytol dol dar daiidy qotchol okchor okor olytol dol dar okom chol shol seees chom cheeykam okai okom chol shol seees chom cheeykam o ai okom chol shol seees chom cheeykam okai okom chol shol sches chom cheeykam okai qodar ees eey kcheol okal do r chear een qodar chs eey kcheol okal do r chear een qodar ees eey kcheol okal do r chear een qodar chs chy tcheol okal do r chear eeb yeeear otchal eeor eear ckhy ychear otchal chor char ckha ychear otchal chor char ckhy yeeear otchal eeor eear ckhy ychear otchal chor chor ckh or cheor kor chodaly chom os cheor kar chodaly chom or cheor kor chodaly chom or cheor kor chodaly cham tchor otcham chor cfham s tchor otcham chor cpham ch tchor otcham chor cfham ch tchor otcham chor cfham s tchor otcham chor cfham s ykchy kchom chor chekeol oka ykchy kchom chor chckhol oka ykchy kchom chor chekeol oka ykchy kchom chor chckhol oka ytcheear okeol cthodoaly chor cthy ytcheear okeol cthodoaly chor cthy ytcheear okeol cthodoaly chor cthy yteeaiir okeol cthodoaly chor cthy ochor daiin qokshol daiim chol okary ochas daiin qokshol daiim chol okary ochar daiin qokshol daiim chol okary ochor daiin qokshol daiim chol okary ochor daiin qokshol daiim chol okary sho shockho ckhy tchor chodaiin chom sho shockho ckhy tchor chodaiin chom sho shockho ckhy tchor chodaiin chom sho shockho ckhy tchor chodaiin chom osh chodair ytchy tchor kcham s osh chodair ytchy tchor kcham s osh chodair ytchy tchor kcham s osh chodair ytchy tchor kcham s shar shkaiin qokchy yty cthal chky shar shkaiin qokchy yty cthal chky shar shkaiin qokchy yty cthal chky shar shkaiin qokcha yty cthal chky dain sheam yteam dain sheam ykeam dain sheam yteam dain sheam yteam
